Date,Open,High,Low,Close,Volume
2021-05-17,14.121407897860808,14.13362704722991,13.818671694394718,14.129886627197266,216980000
2021-05-18,14.231132182866967,14.368037075620663,13.96879289213659,13.980513572692871,186256000
2021-05-19,13.532393535433826,14.044104340700125,13.50920235882469,14.030388832092285,344000000
2021-05-20,14.266541704450896,14.646833580285021,14.234622566942482,14.575762748718262,321592000
2021-05-21,15.125625184737823,15.183729159487287,14.8321154486356,14.954057693481445,672992000
2021-05-24,15.174255494540118,15.705417059399807,15.137847278130703,15.572751998901367,554816000
2021-05-25,15.726364404401615,15.778732192206977,15.443577398975853,15.60841178894043,435408000
2021-05-26,15.69469042173592,15.754040565837135,15.547062764853033,15.660526275634766,370440000
2021-05-27,15.660280994991329,15.71040472046622,15.421133814457916,15.449063301086426,581476000
2021-05-28,15.462025838962788,16.236573213834454,15.462025838962788,16.203655242919922,644536000
2021-06-01,16.229096888512235,16.34704949574134,15.86326820041709,16.223609924316406,472804000
2021-06-02,16.21139203355558,16.876216524208118,16.194683808700496,16.736068725585938,594168000
2021-06-03,16.658764943328784,17.215611938318762,16.541310797438655,16.927087783813477,580008000
2021-06-04,17.069473196196565,17.616594160834808,17.05251764406751,17.534053802490234,617120000
2021-06-07,17.52707659864361,17.76771918028066,17.149528167001655,17.574705123901367,575756000
2021-06-08,17.483183670666758,17.577196435464696,17.207627375092446,17.413110733032227,323848000
2021-06-09,17.475721908527852,17.534836381930162,17.216315861597764,17.318580627441406,381656000
2021-06-10,17.310346354499423,17.452022006490658,17.136744250662534,17.385173797607422,287772000
2021-06-11,17.439543478825264,17.89824366419943,17.403875762931484,17.784503936767578,416308000
2021-06-14,17.865076259269316,17.998270294606797,17.622382309836595,17.977567672729492,321376000
2021-06-15,17.874058585520746,17.97507688775737,17.687485674890738,17.747846603393555,243032000
2021-06-16,17.75009224553801,17.913717005111053,17.5443124591101,17.769546508789062,307124000
2021-06-17,17.733876709616816,18.791952156008932,17.715668906709517,18.614608764648438,809656000
2021-06-18,18.74106970383863,19.330718581922177,18.54152604115206,18.59615135192871,968856000
2021-06-21,18.39311678865641,18.494136987006172,17.782017377989256,18.385135650634766,672384000
2021-06-22,18.429284231032042,18.920409647101682,18.343978923682204,18.843584060668945,580144000
2021-06-23,18.964304575117165,19.10897361319787,18.86453275909637,19.013690948486328,332356000
2021-06-24,19.183806109567367,19.375616025449478,19.044623366172903,19.161605834960938,320924000
2021-06-25,19.236433070795265,19.301285040207212,18.851315628683007,18.987503051757812,278364000
2021-06-28,19.31699836660214,20.03285915279017,19.274845251778927,19.93932342529297,495436000
2021-06-29,19.83705494427208,20.05281013619522,19.61207025535372,19.980976104736328,367632000
2021-06-30,19.95354441508654,20.116421295455844,19.81835413049353,19.956787109375,326568000
2021-07-01,20.079002860645495,20.409245712086076,19.973244233081605,20.165803909301758,480136000
2021-07-02,20.39353374130317,20.458385715167392,20.241382131269432,20.440176010131836,342764000
2021-07-06,20.690107865344423,20.794368868985238,20.303743851889013,20.65119743347168,446708000
2021-07-07,20.80584097500275,20.827291472702445,20.28553319651976,20.325191497802734,418428000
2021-07-08,19.81111987540912,20.086986749821186,19.655725557948074,19.857263565063477,503300000
2021-07-09,19.91687611559388,20.03435717009147,19.709102017056413,20.004425048828125,296624000
2021-07-12,20.193743724149126,20.48582408605355,20.141613226484793,20.465621948242188,321984000
2021-07-13,20.353875481303678,20.41448760068872,20.068031230618036,20.203720092773438,290708000
2021-07-14,20.31122089134156,20.371083224348496,19.707604117466037,19.79615020751953,380100000
2021-07-15,19.766471657258307,19.801640805909646,18.815399378990502,18.922903060913086,550564000
2021-07-16,18.98700141266361,19.113211442977995,18.031689563231986,18.119487762451172,688224000
2021-07-19,17.87430188517964,18.998475513326806,17.82466431995801,18.736825942993164,749060000
